id,timestamp,Axes_X_aaVactB
i1,2023-04-28 17:19:17.000,0.0
i1,2023-04-28 17:19:18.000,-281.0425009601144
i1,2023-04-28 17:19:18.000,817.974733127352
i1,2023-04-28 17:19:18.000,-267.010076067336
i1,2023-04-28 17:19:18.000,-1656.8128993170608
i1,2023-04-28 17:19:19.000,0.0
i1,2023-04-28 17:19:20.000,-206.69859652784706
i1,2023-04-28 17:19:21.000,-326.8971666720929
i1,2023-04-28 17:19:21.000,0.0
i1,2023-04-28 17:19:22.000,-223.32974181249767
i1,2023-04-28 17:19:22.000,-244.38078604268202
i1,2023-04-28 17:19:23.000,-265.2505302077343
i1,2023-04-28 17:19:23.000,-94.55062525723615
i1,2023-04-28 17:19:23.000,218.14908889289273
i1,2023-04-28 17:19:23.000,-0.0
i1,2023-04-28 17:19:24.000,-227.6397235108442
i1,2023-04-28 17:19:24.000,-181.78995152651376
i1,2023-04-28 17:19:24.000,-253.4853988773803
i1,2023-04-28 17:19:25.000,-274.8512057622252
i1,2023-04-28 17:19:25.000,0.0
i1,2023-04-28 17:19:25.000,13.786848049074393
i1,2023-04-28 17:19:26.000,0.0
i1,2023-04-28 17:19:26.000,8188.265163181883
i1,2023-04-28 17:19:26.000,7896.46030809329
i1,2023-04-28 17:19:26.000,0.0
i1,2023-04-28 17:19:28.000,-149.95500486191636
i1,2023-04-28 17:19:28.000,-10413.542004299747
i1,2023-04-28 17:19:28.000,0.0
i1,2023-04-28 17:19:29.000,17.464207279217153
i1,2023-04-28 17:19:30.000,43.591803654625274
i1,2023-04-28 17:19:30.000,68.3904375060559
i1,2023-04-28 17:19:30.000,120.10375973458211
i1,2023-04-28 17:19:30.000,120.11354791522427
i1,2023-04-28 17:19:31.000,120.14282226562463
i1,2023-04-28 17:19:31.000,120.15869143729213
i1,2023-04-28 17:19:31.000,117.11181966059645
i1,2023-04-28 17:19:31.000,106.69394582687596
i1,2023-04-28 17:19:32.000,79.48312410870368
i1,2023-04-28 17:19:32.000,13.399950501157612
i1,2023-04-28 17:19:32.000,0.0
i1,2023-04-28 17:19:35.000,-41.335921406380315
i1,2023-04-28 17:19:35.000,-40.3890906740023
i1,2023-04-28 17:19:35.000,-38.853538970262356
i1,2023-04-28 17:19:36.000,-37.73239866141192
i1,2023-04-28 17:19:36.000,-35.947693137001096
i1,2023-04-28 17:19:36.000,-33.98778579521434
i1,2023-04-28 17:19:36.000,-32.57704146614719
i1,2023-04-28 17:19:37.000,-29.99615552500546
i1,2023-04-28 17:19:37.000,-28.159466047737354
i1,2023-04-28 17:19:37.000,-25.39809897091039
i1,2023-04-28 17:19:37.000,-22.623535422551452
i1,2023-04-28 17:19:38.000,-20.76679475315621
i1,2023-04-28 17:19:38.000,-17.964647736779366
i1,2023-04-28 17:19:38.000,-16.084351048098576
i1,2023-04-28 17:19:38.000,-13.264150658428058
i1,2023-04-28 17:19:39.000,-10.438001840072976
i1,2023-04-28 17:19:39.000,-8.552649689433073
i1,2023-04-28 17:19:39.000,-5.719088850501818
i1,2023-04-28 17:19:39.000,-3.827844675758284
i1,2023-04-28 17:19:40.000,-0.9882318730136497
i1,2023-04-28 17:19:40.000,1.8524559790891377
i1,2023-04-28 17:19:40.000,3.7448708628951755
i1,2023-04-28 17:19:41.000,6.580959671806503
i1,2023-04-28 17:19:41.000,9.412425041365664
i1,2023-04-28 17:19:41.000,11.299948537911325
i1,2023-04-28 17:19:41.000,14.124912556128209
i1,2023-04-28 17:19:42.000,16.00180913848421
i1,2023-04-28 17:19:42.000,18.814228448879692
i1,2023-04-28 17:19:42.000,21.614654332766968
i1,2023-04-28 17:19:42.000,23.472435841763023
i1,2023-04-28 17:19:43.000,26.243493367153096
i1,2023-04-28 17:19:43.000,28.086044072209752
i1,2023-04-28 17:19:43.000,30.835596761914395
i1,2023-04-28 17:19:43.000,33.36054977813761
i1,2023-04-28 17:19:44.000,34.7437564380335
i1,2023-04-28 17:19:44.000,36.684295956766036
i1,2023-04-28 17:19:44.000,38.43342516171364
i1,2023-04-28 17:19:44.000,39.52234183532377
i1,2023-04-28 17:19:45.000,41.03396903371357
i1,2023-04-28 17:19:45.000,34.40840623563689
i1,2023-04-28 17:19:45.000,0.0
i1,2023-04-28 17:19:48.000,-52.415472174126364
i1,2023-04-28 17:19:49.000,-55.29418496296128
i1,2023-04-28 17:19:49.000,-56.773541982791606
i1,2023-04-28 17:19:49.000,-57.823241511135805
i1,2023-04-28 17:19:49.000,-59.48563069191472
i1,2023-04-28 17:19:50.000,-60.04775399316189
i1,2023-04-28 17:19:50.000,-60.06240069827474
i1,2023-04-28 17:19:50.000,-60.075827240331535
i1,2023-04-28 17:19:50.000,-60.06669079762044
i1,2023-04-28 17:19:51.000,-27.01671770015028
i1,2023-04-28 17:19:51.000,2.04653753227913
i1,2023-04-28 17:19:51.000,60.058125311354836
i1,2023-04-28 17:19:52.000,60.054435731630534
i1,2023-04-28 17:19:52.000,60.05324647266147
i1,2023-04-28 17:19:52.000,60.05752743492188
i1,2023-04-28 17:19:52.000,60.058128941151864
i1,2023-04-28 17:19:53.000,59.142747914050496
i1,2023-04-28 17:19:53.000,57.48086983134412
i1,2023-04-28 17:19:53.000,56.42567666103862
i1,2023-04-28 17:19:53.000,55.00431192525434
i1,2023-04-28 17:19:54.000,0.0
i1,2023-04-28 17:19:55.000,-41.82825728227572
i1,2023-04-28 17:19:55.000,-84.98777578594921
i1,2023-04-28 17:19:55.000,0.0
i1,2023-04-28 17:19:56.000,2773.664165101961
i1,2023-04-28 17:19:56.000,-571.5614025198574
i1,2023-04-28 17:19:56.000,-34.408398624739895
i1,2023-04-28 17:19:56.000,-13.427541353445875
i1,2023-04-28 17:19:57.000,0.0
i1,2023-04-28 17:19:57.000,80.95063785244072
i1,2023-04-28 17:19:57.000,15.50029029379847
i1,2023-04-28 17:19:57.000,0.0
i1,2023-04-28 17:20:01.000,3604.584820259959
i1,2023-04-28 17:20:01.000,7795.382396755969
i1,2023-04-28 17:20:01.000,0.0
i1,2023-04-28 17:20:03.000,3072.5185611353118
i1,2023-04-28 17:20:03.000,0.0
i1,2023-04-28 17:20:13.000,-432.00000000000006
i1,2023-04-28 17:20:13.000,-24000.0
i1,2023-04-28 17:20:14.000,-1673.2087912087911
i1,2023-04-28 17:20:14.000,-0.0
i1,2023-04-28 17:20:15.000,-218.84253740751348
i1,2023-04-28 17:20:15.000,-238.44692077505835
i1,2023-04-28 17:20:15.000,-255.86018597661143
i1,2023-04-28 17:20:16.000,-266.561479216679
i1,2023-04-28 17:20:16.000,-281.5432232696725
i1,2023-04-28 17:20:16.000,-290.93657861121335
i1,2023-04-28 17:20:16.000,-304.2853949261338
i1,2023-04-28 17:20:17.000,-316.87859919068103
i1,2023-04-28 17:20:17.000,-320.0
i1,2023-04-28 17:20:17.000,0.0
i1,2023-04-28 17:20:20.000,-60.0
i1,2023-04-28 17:20:20.000,0.0
i1,2023-04-28 17:20:21.000,5595.763837638376
i1,2023-04-28 17:20:22.000,0.0
i1,2023-04-28 17:20:23.000,9542.04349523049
i1,2023-04-28 17:20:23.000,1856.6079553555574
i1,2023-04-28 17:20:23.000,0.0
i1,2023-04-28 17:20:24.000,-13515.941138822442
i1,2023-04-28 17:20:25.000,-14801.441966596998
i1,2023-04-28 17:20:25.000,-137.42701006746097
i1,2023-04-28 17:20:25.000,-0.0
i1,2023-04-28 17:20:25.000,-45.51919924583232
i1,2023-04-28 17:20:26.000,-297.71708416658714
i1,2023-04-28 17:20:26.000,-325.612084980646
i1,2023-04-28 17:20:26.000,-369.7434010499665
i1,2023-04-28 17:20:26.000,-395.7772146822723
i1,2023-04-28 17:20:27.000,-431.2532026805951
i1,2023-04-28 17:20:27.000,-453.01001600836
i1,2023-04-28 17:20:27.000,-480.80338146463953
i1,2023-04-28 17:20:27.000,0.0
i1,2023-04-28 17:20:28.000,8835.297097245202
i1,2023-04-28 17:20:28.000,-0.0
i1,2023-04-28 17:20:29.000,-145.72864503091563
i1,2023-04-28 17:20:29.000,-43.85322192648278
i1,2023-04-28 17:20:30.000,-297.88999169614993
i1,2023-04-28 17:20:30.000,-325.8610736102048
i1,2023-04-28 17:20:30.000,-370.4302429078128
i1,2023-04-28 17:20:30.000,-409.178026991998
i1,2023-04-28 17:20:31.000,-432.68852774336017
i1,2023-04-28 17:20:31.000,-465.0877133818584
i1,2023-04-28 17:20:31.000,-480.67146290031997
i1,2023-04-28 17:20:31.000,0.0
i1,2023-04-28 17:20:32.000,2733.3243849590613
i1,2023-04-28 17:20:32.000,15831.514415621587
i1,2023-04-28 17:20:32.000,0.0
i1,2023-04-28 17:20:33.000,772.3735520592815
i1,2023-04-28 17:20:33.000,0.0
