id,timestamp,MaxxTurn45_Coolant_Power_Active_A
i1,2023-04-28 17:00:12.767,303.167236328125
i1,2023-04-28 17:00:12.865,301.7149963378906
i1,2023-04-28 17:00:12.969,301.7149963378906
i1,2023-04-28 17:00:13.072,299.1735534667969
i1,2023-04-28 17:00:13.173,299.1735534667969
i1,2023-04-28 17:00:13.274,299.1735534667969
i1,2023-04-28 17:00:13.377,285.4007568359375
i1,2023-04-28 17:00:13.481,293.3641662597656
i1,2023-04-28 17:00:13.582,293.3641662597656
i1,2023-04-28 17:00:13.683,275.1475524902344
i1,2023-04-28 17:00:13.784,275.1475524902344
i1,2023-04-28 17:00:13.885,234.18325805664062
i1,2023-04-28 17:00:13.988,234.18325805664062
i1,2023-04-28 17:00:14.090,165.618408203125
i1,2023-04-28 17:00:14.194,165.618408203125
i1,2023-04-28 17:00:14.295,143.0394287109375
i1,2023-04-28 17:00:14.396,143.0394287109375
i1,2023-04-28 17:00:14.498,117.49671173095703
i1,2023-04-28 17:00:14.602,117.49671173095703
i1,2023-04-28 17:00:14.703,117.13170623779297
i1,2023-04-28 17:00:14.813,117.13170623779297
i1,2023-04-28 17:00:14.909,117.57994079589844
i1,2023-04-28 17:00:15.007,117.57994079589844
i1,2023-04-28 17:00:15.109,116.897216796875
i1,2023-04-28 17:00:15.211,116.897216796875
i1,2023-04-28 17:00:15.313,116.897216796875
i1,2023-04-28 17:00:15.419,117.15418243408203
i1,2023-04-28 17:00:15.524,117.0784683227539
i1,2023-04-28 17:00:15.625,117.0784683227539
i1,2023-04-28 17:00:15.725,117.07842254638672
i1,2023-04-28 17:00:15.820,117.07842254638672
i1,2023-04-28 17:00:15.923,117.07849884033203
i1,2023-04-28 17:00:16.023,117.07849884033203
i1,2023-04-28 17:00:16.131,116.71607971191406
i1,2023-04-28 17:00:16.240,116.71612548828125
i1,2023-04-28 17:00:16.332,116.71612548828125
i1,2023-04-28 17:00:16.444,116.71612548828125
i1,2023-04-28 17:00:16.535,117.07870483398438
i1,2023-04-28 17:00:16.643,116.98902893066406
i1,2023-04-28 17:00:16.741,116.98902893066406
i1,2023-04-28 17:00:16.853,117.44115447998047
i1,2023-04-28 17:00:16.953,117.44115447998047
i1,2023-04-28 17:00:17.052,117.28691864013672
i1,2023-04-28 17:00:17.149,117.28691864013672
i1,2023-04-28 17:00:17.257,117.28691864013672
i1,2023-04-28 17:00:17.367,117.2869644165039
i1,2023-04-28 17:00:17.464,117.49687194824219
i1,2023-04-28 17:00:17.559,117.49687194824219
i1,2023-04-28 17:00:17.661,117.49678802490234
i1,2023-04-28 17:00:17.766,117.49678802490234
i1,2023-04-28 17:00:17.864,117.86173248291016
i1,2023-04-28 17:00:17.966,117.86173248291016
i1,2023-04-28 17:00:18.070,117.8618392944336
i1,2023-04-28 17:00:18.172,117.8618392944336
i1,2023-04-28 17:00:18.273,117.86176300048828
i1,2023-04-28 17:00:18.384,117.86176300048828
i1,2023-04-28 17:00:18.477,117.99958801269531
i1,2023-04-28 17:00:18.581,117.99958801269531
i1,2023-04-28 17:00:18.685,117.99968719482422
i1,2023-04-28 17:00:18.786,117.99968719482422
i1,2023-04-28 17:00:18.891,117.99950408935547
i1,2023-04-28 17:00:18.993,117.99950408935547
i1,2023-04-28 17:00:19.094,118.21240234375
i1,2023-04-28 17:00:19.193,118.21240234375
i1,2023-04-28 17:00:19.297,118.2266616821289
i1,2023-04-28 17:00:19.401,118.2266616821289
i1,2023-04-28 17:00:19.498,118.36266326904297
i1,2023-04-28 17:00:19.600,118.36266326904297
i1,2023-04-28 17:00:19.703,118.36266326904297
i1,2023-04-28 17:00:19.806,118.36266326904297
i1,2023-04-28 17:00:19.909,118.36266326904297
i1,2023-04-28 17:00:20.012,118.36266326904297
i1,2023-04-28 17:00:20.118,118.36268615722656
i1,2023-04-28 17:00:20.213,118.36268615722656
i1,2023-04-28 17:00:20.307,118.22674560546875
i1,2023-04-28 17:00:20.412,118.22674560546875
i1,2023-04-28 17:00:20.517,118.2266616821289
i1,2023-04-28 17:00:20.620,118.2266616821289
i1,2023-04-28 17:00:20.728,118.5915298461914
i1,2023-04-28 17:00:20.826,118.5915298461914
i1,2023-04-28 17:00:20.927,118.5915298461914
