id,timestamp,MaxxTurn45_Axes_Power_Active_B
i1,2023-04-28T15:00:12.768871,700.5239868164062
i1,2023-04-28T15:00:12.871204,704.6685180664062
i1,2023-04-28T15:00:12.973669,704.6685180664062
i1,2023-04-28T15:00:13.077936,704.1692504882812
i1,2023-04-28T15:00:13.182036,704.1692504882812
i1,2023-04-28T15:00:13.283955,704.1692504882812
i1,2023-04-28T15:00:13.381255,750.9951782226562
i1,2023-04-28T15:00:13.483466,761.9359741210938
i1,2023-04-28T15:00:13.588414,761.9359741210938
i1,2023-04-28T15:00:13.688543,745.8350830078125
i1,2023-04-28T15:00:13.790952,745.8350830078125
i1,2023-04-28T15:00:13.890354,748.017333984375
i1,2023-04-28T15:00:14.000510,748.017333984375
i1,2023-04-28T15:00:14.100054,761.0421142578125
i1,2023-04-28T15:00:14.199230,761.0421142578125
i1,2023-04-28T15:00:14.300033,879.8892211914062
i1,2023-04-28T15:00:14.405163,879.8892211914062
i1,2023-04-28T15:00:14.503426,1149.1646728515625
i1,2023-04-28T15:00:14.604483,1149.1646728515625
i1,2023-04-28T15:00:14.707664,1860.88037109375
i1,2023-04-28T15:00:14.809810,1860.88037109375
i1,2023-04-28T15:00:14.910320,2809.44580078125
i1,2023-04-28T15:00:15.012731,2809.44580078125
i1,2023-04-28T15:00:15.116853,3844.56982421875
i1,2023-04-28T15:00:15.220325,3844.56982421875
i1,2023-04-28T15:00:15.321976,4396.80615234375
i1,2023-04-28T15:00:15.422167,4396.80615234375
i1,2023-04-28T15:00:15.525637,5114.3525390625
i1,2023-04-28T15:00:15.623404,5114.3525390625
i1,2023-04-28T15:00:15.725708,5750.47900390625
i1,2023-04-28T15:00:15.822423,5750.47900390625
i1,2023-04-28T15:00:15.926717,6414.80908203125
i1,2023-04-28T15:00:16.025061,6414.80908203125
i1,2023-04-28T15:00:16.132963,6613.6640625
i1,2023-04-28T15:00:16.239214,6613.6640625
i1,2023-04-28T15:00:16.337092,6513.20556640625
i1,2023-04-28T15:00:16.451200,5885.93505859375
i1,2023-04-28T15:00:16.540583,5885.93505859375
i1,2023-04-28T15:00:16.653793,5029.9521484375
i1,2023-04-28T15:00:16.756778,5029.9521484375
i1,2023-04-28T15:00:16.850947,4259.7783203125
i1,2023-04-28T15:00:16.949073,4259.7783203125
i1,2023-04-28T15:00:17.057890,3583.0595703125
i1,2023-04-28T15:00:17.156195,3583.0595703125
i1,2023-04-28T15:00:17.256310,3020.059326171875
i1,2023-04-28T15:00:17.383267,3020.059326171875
i1,2023-04-28T15:00:17.461114,2432.025634765625
i1,2023-04-28T15:00:17.562724,2432.025634765625
i1,2023-04-28T15:00:17.666445,1534.0447998046875
i1,2023-04-28T15:00:17.768886,1534.0447998046875
i1,2023-04-28T15:00:17.872104,822.5092163085938
i1,2023-04-28T15:00:17.974478,822.5092163085938
i1,2023-04-28T15:00:18.073652,376.4391174316406
i1,2023-04-28T15:00:18.176972,376.4391174316406
i1,2023-04-28T15:00:18.275393,376.4391174316406
i1,2023-04-28T15:00:18.380867,-369.6548767089844
i1,2023-04-28T15:00:18.479069,-759.572509765625
i1,2023-04-28T15:00:18.584135,-759.572509765625
