id,timestamp,MaxxTurn45_Power_Active_C
i1,2023-04-28T15:00:12.777746,681.167236328125
i1,2023-04-28T15:00:12.878957,681.167236328125
i1,2023-04-28T15:00:12.980499,707.0070190429688
i1,2023-04-28T15:00:13.081892,707.0070190429688
i1,2023-04-28T15:00:13.203243,684.631103515625
i1,2023-04-28T15:00:13.293920,705.61865234375
i1,2023-04-28T15:00:13.388766,705.61865234375
i1,2023-04-28T15:00:13.493931,700.6909790039062
i1,2023-04-28T15:00:13.592348,700.6909790039062
i1,2023-04-28T15:00:13.697732,649.1696166992188
i1,2023-04-28T15:00:13.795914,649.1696166992188
i1,2023-04-28T15:00:13.915683,564.9431762695312
i1,2023-04-28T15:00:14.005526,564.9431762695312
i1,2023-04-28T15:00:14.104714,560.9107055664062
i1,2023-04-28T15:00:14.202298,560.9107055664062
i1,2023-04-28T15:00:14.308419,588.2399291992188
i1,2023-04-28T15:00:14.409658,588.2399291992188
i1,2023-04-28T15:00:14.508015,822.709228515625
i1,2023-04-28T15:00:14.614559,822.709228515625
i1,2023-04-28T15:00:14.712551,1430.0556640625
i1,2023-04-28T15:00:14.813215,1430.0556640625
i1,2023-04-28T15:00:14.915125,2142.701171875
i1,2023-04-28T15:00:15.018511,2142.701171875
i1,2023-04-28T15:00:15.122331,2142.701171875
i1,2023-04-28T15:00:15.229159,2822.1962890625
i1,2023-04-28T15:00:15.327677,3201.717529296875
i1,2023-04-28T15:00:15.426937,3201.717529296875
i1,2023-04-28T15:00:15.531958,3672.574462890625
i1,2023-04-28T15:00:15.633303,3672.574462890625
i1,2023-04-28T15:00:15.738780,4184.46728515625
i1,2023-04-28T15:00:15.828447,4184.46728515625
i1,2023-04-28T15:00:15.932735,4564.220703125
i1,2023-04-28T15:00:16.031017,4564.220703125
i1,2023-04-28T15:00:16.154517,4659.83056640625
i1,2023-04-28T15:00:16.245845,4659.83056640625
i1,2023-04-28T15:00:16.345905,4479.95361328125
i1,2023-04-28T15:00:16.445972,4479.95361328125
i1,2023-04-28T15:00:16.545868,3960.291015625
i1,2023-04-28T15:00:16.650248,3960.291015625
i1,2023-04-28T15:00:16.750668,3440.18017578125
i1,2023-04-28T15:00:16.856139,3440.18017578125
i1,2023-04-28T15:00:16.968829,2716.20068359375
i1,2023-04-28T15:00:17.061474,2716.20068359375
i1,2023-04-28T15:00:17.159287,2462.965576171875
i1,2023-04-28T15:00:17.265900,2462.965576171875
i1,2023-04-28T15:00:17.364919,2076.85498046875
i1,2023-04-28T15:00:17.465958,2076.85498046875
i1,2023-04-28T15:00:17.566987,1653.22607421875
i1,2023-04-28T15:00:17.667171,1653.22607421875
i1,2023-04-28T15:00:17.770763,985.4732055664062
i1,2023-04-28T15:00:17.871969,985.4732055664062
i1,2023-04-28T15:00:17.973400,549.7279052734375
i1,2023-04-28T15:00:18.094688,197.99171447753906
i1,2023-04-28T15:00:18.178301,197.99171447753906
i1,2023-04-28T15:00:18.281453,197.99171447753906
i1,2023-04-28T15:00:18.387301,-221.89883422851562
i1,2023-04-28T15:00:18.488187,-221.89883422851562
i1,2023-04-28T15:00:18.589067,-624.6513061523438
i1,2023-04-28T15:00:18.692260,-624.6513061523438
i1,2023-04-28T15:00:18.794616,-1117.6053466796875
i1,2023-04-28T15:00:18.901014,-1678.2119140625
i1,2023-04-28T15:00:19.000160,-1678.2119140625
i1,2023-04-28T15:00:19.107831,-2011.1356201171875
i1,2023-04-28T15:00:19.214748,-2011.1356201171875
i1,2023-04-28T15:00:19.317694,-2074.304931640625
i1,2023-04-28T15:00:19.408925,-2074.304931640625
i1,2023-04-28T15:00:19.516151,-1697.0797119140625
i1,2023-04-28T15:00:19.614020,-1697.0797119140625
i1,2023-04-28T15:00:19.717636,-986.0805053710938
i1,2023-04-28T15:00:19.818953,-986.0805053710938
i1,2023-04-28T15:00:19.917919,-123.20563507080078
i1,2023-04-28T15:00:20.020175,-123.20563507080078
i1,2023-04-28T15:00:20.122896,-123.20563507080078
i1,2023-04-28T15:00:20.229243,1188.8985595703125
i1,2023-04-28T15:00:20.316993,1816.244873046875
i1,2023-04-28T15:00:20.431698,1816.244873046875
i1,2023-04-28T15:00:20.530210,2747.218505859375
i1,2023-04-28T15:00:20.630099,2747.218505859375
i1,2023-04-28T15:00:20.730423,3525.41552734375
i1,2023-04-28T15:00:20.838082,3525.41552734375
i1,2023-04-28T15:00:20.938026,3890.995849609375
i1,2023-04-28T15:00:21.038474,3890.995849609375
i1,2023-04-28T15:00:21.140902,4015.193115234375
i1,2023-04-28T15:00:21.248627,4015.193115234375
i1,2023-04-28T15:00:21.344443,3941.3798828125
i1,2023-04-28T15:00:21.445508,3941.3798828125
i1,2023-04-28T15:00:21.546797,3559.827880859375
i1,2023-04-28T15:00:21.647957,3559.827880859375
i1,2023-04-28T15:00:21.752329,3030.339111328125
i1,2023-04-28T15:00:21.854690,3030.339111328125
i1,2023-04-28T15:00:21.961484,2210.807861328125
i1,2023-04-28T15:00:22.059451,2210.807861328125
i1,2023-04-28T15:00:22.158881,1946.561279296875
i1,2023-04-28T15:00:22.266307,1946.561279296875
i1,2023-04-28T15:00:22.366697,1479.1085205078125
i1,2023-04-28T15:00:22.468043,1479.1085205078125
i1,2023-04-28T15:00:22.565842,1224.6634521484375
i1,2023-04-28T15:00:22.668221,1224.6634521484375
i1,2023-04-28T15:00:22.776078,1208.507568359375
i1,2023-04-28T15:00:22.873778,1208.507568359375
i1,2023-04-28T15:00:22.974350,1261.0128173828125
i1,2023-04-28T15:00:23.078561,1261.0128173828125
i1,2023-04-28T15:00:23.179027,1261.0128173828125
i1,2023-04-28T15:00:23.283201,1317.062255859375
i1,2023-04-28T15:00:23.387704,1203.5709228515625
i1,2023-04-28T15:00:23.485501,1203.5709228515625
i1,2023-04-28T15:00:23.598221,919.506103515625
i1,2023-04-28T15:00:23.691172,919.506103515625
i1,2023-04-28T15:00:23.795473,488.6971435546875
i1,2023-04-28T15:00:23.897794,488.6971435546875
i1,2023-04-28T15:00:23.999030,206.42752075195312
i1,2023-04-28T15:00:24.100771,206.42752075195312
i1,2023-04-28T15:00:24.214529,206.42752075195312
i1,2023-04-28T15:00:24.298771,895.60498046875
i1,2023-04-28T15:00:24.400205,1067.5411376953125
i1,2023-04-28T15:00:24.501157,1067.5411376953125
i1,2023-04-28T15:00:24.604016,1459.918701171875
i1,2023-04-28T15:00:24.723155,1736.8404541015625
