id,timestamp,State_actTNumber
i1,2023-04-28T17:18:25.000+02:00,7
i1,2023-04-28T17:18:29.000+02:00,54
i1,2023-04-28T17:18:33.000+02:00,74
i1,2023-04-28T17:18:41.000+02:00,7
i1,2023-04-28T17:18:51.000+02:00,37
i1,2023-04-28T17:19:07.000+02:00,8
i1,2023-04-28T17:19:27.000+02:00,37
i1,2023-04-28T17:20:02.000+02:00,107
i1,2023-04-28T17:20:23.000+02:00,38
i1,2023-04-28T17:20:32.000+02:00,53
