id,timestamp,MaxxTurn45_Power_Active_B
i1,2023-04-28 17:00:12.774,1159.2021484375
i1,2023-04-28 17:00:12.871,1159.2021484375
i1,2023-04-28 17:00:12.976,1183.373779296875
i1,2023-04-28 17:00:13.077,1183.373779296875
i1,2023-04-28 17:00:13.197,1162.2293701171875
i1,2023-04-28 17:00:13.289,1182.9853515625
i1,2023-04-28 17:00:13.385,1182.9853515625
i1,2023-04-28 17:00:13.490,1174.8834228515625
i1,2023-04-28 17:00:13.588,1174.8834228515625
i1,2023-04-28 17:00:13.693,1124.01708984375
i1,2023-04-28 17:00:13.791,1124.01708984375
i1,2023-04-28 17:00:13.908,1041.1900634765625
i1,2023-04-28 17:00:14.001,1041.1900634765625
i1,2023-04-28 17:00:14.100,1037.13818359375
i1,2023-04-28 17:00:14.198,1037.13818359375
i1,2023-04-28 17:00:14.304,1067.7489013671875
i1,2023-04-28 17:00:14.405,1067.7489013671875
i1,2023-04-28 17:00:14.504,1313.9532470703125
i1,2023-04-28 17:00:14.610,1313.9532470703125
i1,2023-04-28 17:00:14.708,1941.0325927734375
i1,2023-04-28 17:00:14.808,1941.0325927734375
i1,2023-04-28 17:00:14.911,2683.271728515625
i1,2023-04-28 17:00:15.014,2683.271728515625
i1,2023-04-28 17:00:15.118,2683.271728515625
i1,2023-04-28 17:00:15.221,3379.66748046875
i1,2023-04-28 17:00:15.323,3774.806396484375
i1,2023-04-28 17:00:15.422,3774.806396484375
i1,2023-04-28 17:00:15.527,4254.25048828125
i1,2023-04-28 17:00:15.629,4254.25048828125
i1,2023-04-28 17:00:15.734,4770.8466796875
i1,2023-04-28 17:00:15.825,4770.8466796875
i1,2023-04-28 17:00:15.929,5159.65966796875
i1,2023-04-28 17:00:16.028,5159.65966796875
i1,2023-04-28 17:00:16.144,5251.64599609375
i1,2023-04-28 17:00:16.240,5251.64599609375
i1,2023-04-28 17:00:16.341,5062.658203125
i1,2023-04-28 17:00:16.441,5062.658203125
i1,2023-04-28 17:00:16.541,4521.13232421875
i1,2023-04-28 17:00:16.645,4521.13232421875
