id,timestamp,Axes_X_aaLeadP
i1,2023-04-28 17:19:15.000,133.33101907828697
i1,2023-04-28 17:19:16.000,132.78338539972808
i1,2023-04-28 17:19:16.000,136.07292888966407
i1,2023-04-28 17:19:16.000,135.71
i1,2023-04-28 17:19:17.000,134.60003664271395
i1,2023-04-28 17:19:17.000,133.51701530171025
i1,2023-04-28 17:19:17.000,136.91
i1,2023-04-28 17:19:17.000,136.06931143774048
i1,2023-04-28 17:19:18.000,135.87495954544946
i1,2023-04-28 17:19:18.000,137.14185727483184
i1,2023-04-28 17:19:18.000,136.2418378975088
i1,2023-04-28 17:19:18.000,137.08169874211174
i1,2023-04-28 17:19:19.000,135.71
i1,2023-04-28 17:19:20.000,135.48124599674836
i1,2023-04-28 17:19:21.000,134.01880136296816
i1,2023-04-28 17:19:21.000,133.417
i1,2023-04-28 17:19:21.000,138.01
i1,2023-04-28 17:19:22.000,136.28594996580821
i1,2023-04-28 17:19:22.000,135.6232188122802
i1,2023-04-28 17:19:22.000,134.62631191637925
i1,2023-04-28 17:19:23.000,133.7791582901045
i1,2023-04-28 17:19:23.000,132.5630227583782
i1,2023-04-28 17:19:23.000,132.86338137951958
i1,2023-04-28 17:19:23.000,136.28354841841116
i1,2023-04-28 17:19:24.000,136.26269435802428
i1,2023-04-28 17:19:24.000,135.4306563506638
i1,2023-04-28 17:19:24.000,134.24741638413084
i1,2023-04-28 17:19:25.000,133.36784504830203
i1,2023-04-28 17:19:25.000,132.51
i1,2023-04-28 17:19:25.000,133.21414266506326
i1,2023-04-28 17:19:26.000,138.01
i1,2023-04-28 17:19:26.000,146.39980543972504
i1,2023-04-28 17:19:26.000,187.44272337632424
i1,2023-04-28 17:19:26.000,195.0
i1,2023-04-28 17:19:28.000,194.9970379258299
i1,2023-04-28 17:19:28.000,153.82059853100375
i1,2023-04-28 17:19:28.000,140.404
i1,2023-04-28 17:19:28.000,133.90708297494066
i1,2023-04-28 17:19:29.000,133.92059581133762
i1,2023-04-28 17:19:30.000,134.02188984838577
i1,2023-04-28 17:19:30.000,134.3089601168237
i1,2023-04-28 17:19:30.000,134.76873274956031
i1,2023-04-28 17:19:30.000,135.1691592389956
i1,2023-04-28 17:19:31.000,135.76979825261475
i1,2023-04-28 17:19:31.000,136.37044471939416
i1,2023-04-28 17:19:31.000,136.76777111249086
i1,2023-04-28 17:19:31.000,137.33496031372994
