id,timestamp,Axes_Z_aaTorque
i1,2023-04-28 17:18:55.000,0.271
i1,2023-04-28 17:18:55.000,1.167
i1,2023-04-28 17:18:55.000,0.396
i1,2023-04-28 17:18:56.000,-0.036000000000000004
i1,2023-04-28 17:18:56.000,1.383
i1,2023-04-28 17:18:56.000,0.506
i1,2023-04-28 17:18:56.000,0.607
i1,2023-04-28 17:18:57.000,-4.519
i1,2023-04-28 17:18:57.000,-0.585
i1,2023-04-28 17:18:57.000,0.498
i1,2023-04-28 17:18:57.000,1.064
i1,2023-04-28 17:18:58.000,0.4
i1,2023-04-28 17:18:58.000,1.0
i1,2023-04-28 17:18:58.000,-0.234
i1,2023-04-28 17:18:58.000,0.293
i1,2023-04-28 17:18:59.000,0.094
i1,2023-04-28 17:18:59.000,0.462
i1,2023-04-28 17:18:59.000,0.093
i1,2023-04-28 17:18:59.000,-0.114
i1,2023-04-28 17:19:00.000,1.254
i1,2023-04-28 17:19:00.000,1.307
i1,2023-04-28 17:19:00.000,0.114
i1,2023-04-28 17:19:00.000,0.074
i1,2023-04-28 17:19:01.000,0.024
i1,2023-04-28 17:19:01.000,0.297
i1,2023-04-28 17:19:01.000,0.41400000000000003
i1,2023-04-28 17:19:02.000,0.519
i1,2023-04-28 17:19:02.000,0.915
i1,2023-04-28 17:19:02.000,1.024
i1,2023-04-28 17:19:02.000,3.481
i1,2023-04-28 17:19:03.000,0.982
i1,2023-04-28 17:19:03.000,1.099
i1,2023-04-28 17:19:03.000,0.026000000000000002
i1,2023-04-28 17:19:03.000,0.42
i1,2023-04-28 17:19:04.000,0.8260000000000001
i1,2023-04-28 17:19:04.000,1.296
i1,2023-04-28 17:19:04.000,-0.165
i1,2023-04-28 17:19:04.000,1.026
i1,2023-04-28 17:19:05.000,0.922
i1,2023-04-28 17:19:05.000,1.065
i1,2023-04-28 17:19:05.000,1.194
i1,2023-04-28 17:19:05.000,1.395
i1,2023-04-28 17:19:06.000,-0.21
i1,2023-04-28 17:19:06.000,0.021
i1,2023-04-28 17:19:06.000,0.5690000000000001
i1,2023-04-28 17:19:06.000,-0.268
i1,2023-04-28 17:19:07.000,0.383
i1,2023-04-28 17:19:07.000,-1.2510000000000001
i1,2023-04-28 17:19:07.000,0.726
i1,2023-04-28 17:19:08.000,-0.496
i1,2023-04-28 17:19:08.000,-0.13
i1,2023-04-28 17:19:08.000,-0.109
i1,2023-04-28 17:19:08.000,-0.132
i1,2023-04-28 17:19:09.000,-0.128
i1,2023-04-28 17:19:09.000,2.25
i1,2023-04-28 17:19:09.000,-2.259
i1,2023-04-28 17:19:09.000,0.041
i1,2023-04-28 17:19:10.000,1.095
i1,2023-04-28 17:19:10.000,0.655
i1,2023-04-28 17:19:10.000,0.432
i1,2023-04-28 17:19:10.000,1.21
i1,2023-04-28 17:19:11.000,-0.111
i1,2023-04-28 17:19:11.000,0.149
i1,2023-04-28 17:19:11.000,1.076
i1,2023-04-28 17:19:11.000,0.166
i1,2023-04-28 17:19:12.000,-0.009000000000000001
i1,2023-04-28 17:19:12.000,1.252
i1,2023-04-28 17:19:12.000,0.454
i1,2023-04-28 17:19:12.000,-0.134
i1,2023-04-28 17:19:13.000,1.181
i1,2023-04-28 17:19:13.000,0.653
i1,2023-04-28 17:19:13.000,0.451
i1,2023-04-28 17:19:13.000,2.255
i1,2023-04-28 17:19:14.000,0.186
i1,2023-04-28 17:19:14.000,1.401
i1,2023-04-28 17:19:14.000,0.8300000000000001
i1,2023-04-28 17:19:14.000,-0.352
i1,2023-04-28 17:19:15.000,-0.216
i1,2023-04-28 17:19:15.000,0.9530000000000001
i1,2023-04-28 17:19:15.000,-0.158
i1,2023-04-28 17:19:16.000,-0.682
i1,2023-04-28 17:19:16.000,0.669
i1,2023-04-28 17:19:16.000,0.16
i1,2023-04-28 17:19:16.000,1.101
i1,2023-04-28 17:19:17.000,-0.149
i1,2023-04-28 17:19:17.000,-0.744
i1,2023-04-28 17:19:17.000,0.438
i1,2023-04-28 17:19:17.000,-0.865
i1,2023-04-28 17:19:18.000,0.528
i1,2023-04-28 17:19:18.000,-0.374
i1,2023-04-28 17:19:18.000,0.085
i1,2023-04-28 17:19:18.000,-0.548
i1,2023-04-28 17:19:19.000,-0.218
i1,2023-04-28 17:19:19.000,0.22
i1,2023-04-28 17:19:19.000,-1.249
i1,2023-04-28 17:19:19.000,-0.687
i1,2023-04-28 17:19:20.000,0.219
i1,2023-04-28 17:19:20.000,-1.0090000000000001
i1,2023-04-28 17:19:20.000,-0.9
i1,2023-04-28 17:19:20.000,0.122
i1,2023-04-28 17:19:21.000,-0.651
i1,2023-04-28 17:19:21.000,0.882
i1,2023-04-28 17:19:21.000,-0.625
i1,2023-04-28 17:19:22.000,0.663
i1,2023-04-28 17:19:22.000,-0.544
i1,2023-04-28 17:19:22.000,-0.422
i1,2023-04-28 17:19:22.000,0.644
i1,2023-04-28 17:19:23.000,-0.723
i1,2023-04-28 17:19:23.000,0.417
i1,2023-04-28 17:19:23.000,-0.391
i1,2023-04-28 17:19:23.000,-0.234
i1,2023-04-28 17:19:24.000,0.135
i1,2023-04-28 17:19:24.000,-0.193
i1,2023-04-28 17:19:24.000,-0.27
i1,2023-04-28 17:19:24.000,-0.885
i1,2023-04-28 17:19:25.000,-0.8180000000000001
i1,2023-04-28 17:19:25.000,0.0
i1,2023-04-28 17:19:25.000,-0.195
i1,2023-04-28 17:19:25.000,-0.076
i1,2023-04-28 17:19:26.000,-0.222
i1,2023-04-28 17:19:26.000,-2.891
i1,2023-04-28 17:19:26.000,-0.433
i1,2023-04-28 17:19:26.000,0.194
i1,2023-04-28 17:19:27.000,-0.139
i1,2023-04-28 17:19:27.000,-0.171
i1,2023-04-28 17:19:27.000,-0.1
i1,2023-04-28 17:19:28.000,-0.109
i1,2023-04-28 17:19:28.000,-0.1
i1,2023-04-28 17:19:28.000,1.262
i1,2023-04-28 17:19:28.000,-0.091
i1,2023-04-28 17:19:29.000,-0.5700000000000001
i1,2023-04-28 17:19:29.000,-0.428
i1,2023-04-28 17:19:29.000,0.753
i1,2023-04-28 17:19:29.000,-0.438
i1,2023-04-28 17:19:30.000,0.273
i1,2023-04-28 17:19:30.000,0.252
i1,2023-04-28 17:19:30.000,0.217
i1,2023-04-28 17:19:30.000,0.64
