id,timestamp,Spindle_turnState
i1,2023-04-28 17:18:25.000,0
i1,2023-04-28 17:18:30.000,1
i1,2023-04-28 17:18:43.000,0
i1,2023-04-28 17:20:04.000,1
i1,2023-04-28 17:20:13.000,0
i1,2023-04-28 17:20:23.000,2
