id,timestamp,Axes_Y_aaTorque
i1,2023-04-28 17:18:55.000,0.858
i1,2023-04-28 17:18:56.000,0.664
i1,2023-04-28 17:18:56.000,0.996
i1,2023-04-28 17:18:56.000,0.916
i1,2023-04-28 17:18:56.000,0.625
i1,2023-04-28 17:18:57.000,0.8280000000000001
i1,2023-04-28 17:18:57.000,0.562
i1,2023-04-28 17:18:57.000,0.862
i1,2023-04-28 17:18:57.000,0.858
i1,2023-04-28 17:18:58.000,0.836
i1,2023-04-28 17:18:58.000,0.969
i1,2023-04-28 17:18:58.000,0.657
i1,2023-04-28 17:18:58.000,0.849
i1,2023-04-28 17:18:59.000,0.534
i1,2023-04-28 17:18:59.000,0.847
i1,2023-04-28 17:18:59.000,0.801
i1,2023-04-28 17:18:59.000,0.684
i1,2023-04-28 17:19:00.000,0.935
i1,2023-04-28 17:19:00.000,0.937
i1,2023-04-28 17:19:00.000,0.896
i1,2023-04-28 17:19:00.000,0.502
i1,2023-04-28 17:19:01.000,0.494
i1,2023-04-28 17:19:01.000,0.874
i1,2023-04-28 17:19:01.000,0.871
i1,2023-04-28 17:19:02.000,0.882
i1,2023-04-28 17:19:02.000,0.762
i1,2023-04-28 17:19:02.000,0.852
i1,2023-04-28 17:19:02.000,0.892
i1,2023-04-28 17:19:03.000,0.8230000000000001
i1,2023-04-28 17:19:03.000,0.801
i1,2023-04-28 17:19:03.000,0.767
i1,2023-04-28 17:19:03.000,0.856
i1,2023-04-28 17:19:04.000,0.734
i1,2023-04-28 17:19:04.000,0.9530000000000001
i1,2023-04-28 17:19:04.000,0.666
i1,2023-04-28 17:19:04.000,0.669
i1,2023-04-28 17:19:05.000,0.752
i1,2023-04-28 17:19:05.000,0.926
i1,2023-04-28 17:19:05.000,1.0110000000000001
i1,2023-04-28 17:19:05.000,0.6940000000000001
i1,2023-04-28 17:19:06.000,0.47700000000000004
i1,2023-04-28 17:19:06.000,0.512
i1,2023-04-28 17:19:06.000,0.8170000000000001
i1,2023-04-28 17:19:06.000,0.712
i1,2023-04-28 17:19:07.000,1.022
i1,2023-04-28 17:19:07.000,0.595
i1,2023-04-28 17:19:07.000,0.776
i1,2023-04-28 17:19:08.000,0.713
i1,2023-04-28 17:19:08.000,0.678
i1,2023-04-28 17:19:08.000,0.709
i1,2023-04-28 17:19:08.000,0.674
i1,2023-04-28 17:19:09.000,0.226
i1,2023-04-28 17:19:09.000,0.314
i1,2023-04-28 17:19:09.000,0.457
i1,2023-04-28 17:19:10.000,0.466
i1,2023-04-28 17:19:10.000,0.505
i1,2023-04-28 17:19:10.000,0.487
i1,2023-04-28 17:19:10.000,0.5
i1,2023-04-28 17:19:11.000,0.501
i1,2023-04-28 17:19:11.000,0.488
i1,2023-04-28 17:19:11.000,0.499
i1,2023-04-28 17:19:11.000,0.507
i1,2023-04-28 17:19:12.000,0.493
i1,2023-04-28 17:19:12.000,0.518
i1,2023-04-28 17:19:12.000,0.515
i1,2023-04-28 17:19:12.000,0.498
i1,2023-04-28 17:19:13.000,0.513
i1,2023-04-28 17:19:13.000,0.518
i1,2023-04-28 17:19:13.000,0.496
i1,2023-04-28 17:19:13.000,0.455
i1,2023-04-28 17:19:14.000,0.627
i1,2023-04-28 17:19:14.000,0.555
i1,2023-04-28 17:19:14.000,0.508
i1,2023-04-28 17:19:14.000,0.406
i1,2023-04-28 17:19:15.000,0.515
i1,2023-04-28 17:19:15.000,0.47200000000000003
i1,2023-04-28 17:19:15.000,0.556
i1,2023-04-28 17:19:16.000,0.6
i1,2023-04-28 17:19:16.000,0.523
i1,2023-04-28 17:19:16.000,0.442
i1,2023-04-28 17:19:16.000,0.511
i1,2023-04-28 17:19:17.000,0.533
i1,2023-04-28 17:19:17.000,0.403
i1,2023-04-28 17:19:17.000,0.483
i1,2023-04-28 17:19:17.000,0.437
i1,2023-04-28 17:19:18.000,0.491
i1,2023-04-28 17:19:18.000,0.534
i1,2023-04-28 17:19:18.000,0.545
i1,2023-04-28 17:19:18.000,0.511
i1,2023-04-28 17:19:19.000,0.502
