id,timestamp,Axes_Z_aaVactB
i1,2023-04-28 17:19:03.000,-153.42827505141597
i1,2023-04-28 17:19:03.000,-159.81058807901863
i1,2023-04-28 17:19:04.000,-563.635215944803
i1,2023-04-28 17:19:04.000,-563.616943359375
i1,2023-04-28 17:19:04.000,-466.0972637627344
i1,2023-04-28 17:19:04.000,0.0
i1,2023-04-28 17:19:05.000,-162.8845162789917
i1,2023-04-28 17:19:05.000,-169.99297300136618
i1,2023-04-28 17:19:05.000,-600.5736190498061
i1,2023-04-28 17:19:05.000,762.579776011273
i1,2023-04-28 17:19:06.000,-169.66902680837904
i1,2023-04-28 17:19:06.000,-173.37760121523868
i1,2023-04-28 17:19:06.000,-520.074636700453
i1,2023-04-28 17:19:06.000,0.0
i1,2023-04-28 17:19:07.000,30000.0
i1,2023-04-28 17:19:07.000,0.0
i1,2023-04-28 17:19:09.000,-30000.0
i1,2023-04-28 17:19:09.000,-23729.932948978716
i1,2023-04-28 17:19:09.000,-0.0
i1,2023-04-28 17:19:10.000,-228.40111307350526
i1,2023-04-28 17:19:10.000,-227.60091057554104
i1,2023-04-28 17:19:10.000,-227.578125
i1,2023-04-28 17:19:10.000,-227.5878727632498
i1,2023-04-28 17:19:11.000,-227.59450752369733
i1,2023-04-28 17:19:11.000,-227.54231770833334
i1,2023-04-28 17:19:11.000,-227.58786395306774
i1,2023-04-28 17:19:11.000,-227.59770581973862
i1,2023-04-28 17:19:12.000,-227.53580729166669
i1,2023-04-28 17:19:12.000,-227.6236943864546
i1,2023-04-28 17:19:12.000,-227.60742383681153
i1,2023-04-28 17:19:12.000,-227.58138109411914
i1,2023-04-28 17:19:13.000,-227.60414467197546
i1,2023-04-28 17:19:13.000,-227.61391024576386
i1,2023-04-28 17:19:13.000,-227.5423255891056
i1,2023-04-28 17:19:13.000,293.5678121584868
i1,2023-04-28 17:19:14.000,0.0
i1,2023-04-28 17:19:14.000,-243.9191544371956
i1,2023-04-28 17:19:14.000,0.0
i1,2023-04-28 17:19:14.000,263.77551775114847
i1,2023-04-28 17:19:15.000,0.0
i1,2023-04-28 17:19:15.000,-280.65428118272723
i1,2023-04-28 17:19:15.000,0.0
i1,2023-04-28 17:19:16.000,-227.95751628176203
i1,2023-04-28 17:19:17.000,0.0
i1,2023-04-28 17:19:17.000,665.8296696293176
i1,2023-04-28 17:19:17.000,0.0
i1,2023-04-28 17:19:19.000,228.14357814153053
i1,2023-04-28 17:19:19.000,227.6822775458183
i1,2023-04-28 17:19:19.000,227.6432854430594
i1,2023-04-28 17:19:19.000,227.63672073601347
i1,2023-04-28 17:19:20.000,227.6692276467433
i1,2023-04-28 17:19:20.000,227.66279747289843
i1,2023-04-28 17:19:20.000,227.63346354166666
i1,2023-04-28 17:19:20.000,200.9389265366692
i1,2023-04-28 17:19:21.000,0.0
i1,2023-04-28 17:19:23.000,113.12904409270901
i1,2023-04-28 17:19:23.000,218.14908889289273
i1,2023-04-28 17:19:23.000,0.0
i1,2023-04-28 17:19:24.000,-143.73437568781162
i1,2023-04-28 17:19:24.000,0.0
i1,2023-04-28 17:19:25.000,-302.9947771645839
i1,2023-04-28 17:19:25.000,-318.93234114701335
i1,2023-04-28 17:19:25.000,13.786848049074393
i1,2023-04-28 17:19:26.000,0.0
i1,2023-04-28 17:19:26.000,29910.228322165734
i1,2023-04-28 17:19:26.000,28844.318795876694
i1,2023-04-28 17:19:26.000,0.0
i1,2023-04-28 17:19:28.000,-432.0
i1,2023-04-28 17:19:28.000,-30000.0
i1,2023-04-28 17:19:28.000,0.0
i1,2023-04-28 17:19:29.000,-67.46244579004106
i1,2023-04-28 17:19:30.000,-57.39607722428514
i1,2023-04-28 17:19:30.000,-22.709459463161526
i1,2023-04-28 17:19:30.000,0.0
i1,2023-04-28 17:19:31.000,-33.259973605060246
i1,2023-04-28 17:19:32.000,-76.19762026388773
i1,2023-04-28 17:19:32.000,-107.86467881590616
i1,2023-04-28 17:19:32.000,-108.66331367498681
i1,2023-04-28 17:19:32.000,-108.63037109374976
i1,2023-04-28 17:19:33.000,-108.62182617187477
i1,2023-04-28 17:19:33.000,-108.64991353326494
i1,2023-04-28 17:19:33.000,-108.60717773437477
i1,2023-04-28 17:19:34.000,-108.62912948903539
i1,2023-04-28 17:19:34.000,-108.60109062188772
i1,2023-04-28 17:19:34.000,-108.60226123603573
i1,2023-04-28 17:19:34.000,-108.64989338554595
i1,2023-04-28 17:19:35.000,-108.61204418226885
i1,2023-04-28 17:19:35.000,-99.14013903701662
i1,2023-04-28 17:19:35.000,-101.00978078098741
i1,2023-04-28 17:19:35.000,-103.83458884557882
i1,2023-04-28 17:19:36.000,-105.67813220747391
i1,2023-04-28 17:19:36.000,-108.50501887707166
i1,2023-04-28 17:19:36.000,-111.2578894701106
i1,2023-04-28 17:19:36.000,-113.0210623680069
i1,2023-04-28 17:19:37.000,-114.31082184830045
i1,2023-04-28 17:19:37.000,-114.76842390652628
i1,2023-04-28 17:19:37.000,-115.42937982166984
i1,2023-04-28 17:19:37.000,-116.03568008152699
i1,2023-04-28 17:19:38.000,-116.40915979719307
