id,timestamp,Axes_X_aaTorque
i1,2023-04-28T17:18:50.000+02:00,-2.278
i1,2023-04-28T17:18:50.000+02:00,-2.335
i1,2023-04-28T17:18:51.000+02:00,-1.856
i1,2023-04-28T17:18:51.000+02:00,-4.181
i1,2023-04-28T17:18:51.000+02:00,-3.039
i1,2023-04-28T17:18:51.000+02:00,-1.941
i1,2023-04-28T17:18:52.000+02:00,-1.982
i1,2023-04-28T17:18:52.000+02:00,-1.8840000000000001
i1,2023-04-28T17:18:52.000+02:00,0.86
i1,2023-04-28T17:18:52.000+02:00,-2.023
i1,2023-04-28T17:18:53.000+02:00,-1.2570000000000001
i1,2023-04-28T17:18:53.000+02:00,-2.152
i1,2023-04-28T17:18:53.000+02:00,-2.072
i1,2023-04-28T17:18:53.000+02:00,-2.0140000000000002
i1,2023-04-28T17:18:54.000+02:00,-1.659
i1,2023-04-28T17:18:54.000+02:00,-1.428
i1,2023-04-28T17:18:54.000+02:00,-1.7870000000000001
i1,2023-04-28T17:18:54.000+02:00,-1.314
i1,2023-04-28T17:18:55.000+02:00,-2.43
i1,2023-04-28T17:18:55.000+02:00,-1.984
i1,2023-04-28T17:18:55.000+02:00,-1.659
i1,2023-04-28T17:18:56.000+02:00,-2.386
i1,2023-04-28T17:18:56.000+02:00,-1.435
i1,2023-04-28T17:18:56.000+02:00,-1.4020000000000001
i1,2023-04-28T17:18:56.000+02:00,-2.984
i1,2023-04-28T17:18:57.000+02:00,-1.9100000000000001
i1,2023-04-28T17:18:57.000+02:00,-2.1470000000000002
i1,2023-04-28T17:18:57.000+02:00,-1.199
i1,2023-04-28T17:18:57.000+02:00,-1.2690000000000001
i1,2023-04-28T17:18:58.000+02:00,-1.674
i1,2023-04-28T17:18:58.000+02:00,-1.109
i1,2023-04-28T17:18:58.000+02:00,-2.5
i1,2023-04-28T17:18:58.000+02:00,-1.643
i1,2023-04-28T17:18:59.000+02:00,-3.239
i1,2023-04-28T17:18:59.000+02:00,-1.666
i1,2023-04-28T17:18:59.000+02:00,-1.592
i1,2023-04-28T17:18:59.000+02:00,-2.088
i1,2023-04-28T17:19:00.000+02:00,-0.837
i1,2023-04-28T17:19:00.000+02:00,-0.989
i1,2023-04-28T17:19:00.000+02:00,-2.942
i1,2023-04-28T17:19:00.000+02:00,-3.02
i1,2023-04-28T17:19:01.000+02:00,-3.137
i1,2023-04-28T17:19:01.000+02:00,-1.675
i1,2023-04-28T17:19:01.000+02:00,-1.586
i1,2023-04-28T17:19:02.000+02:00,-1.441
i1,2023-04-28T17:19:02.000+02:00,-1.834
i1,2023-04-28T17:19:02.000+02:00,-1.728
i1,2023-04-28T17:19:02.000+02:00,-1.549
i1,2023-04-28T17:19:03.000+02:00,-1.393
i1,2023-04-28T17:19:03.000+02:00,-2.094
i1,2023-04-28T17:19:03.000+02:00,-1.424
i1,2023-04-28T17:19:03.000+02:00,-1.141
i1,2023-04-28T17:19:04.000+02:00,-2.278
i1,2023-04-28T17:19:04.000+02:00,-1.5070000000000001
i1,2023-04-28T17:19:04.000+02:00,-3.045
i1,2023-04-28T17:19:04.000+02:00,-2.2920000000000003
i1,2023-04-28T17:19:05.000+02:00,-1.678
i1,2023-04-28T17:19:05.000+02:00,-0.861
i1,2023-04-28T17:19:05.000+02:00,-0.852
i1,2023-04-28T17:19:05.000+02:00,-2.023
i1,2023-04-28T17:19:06.000+02:00,-2.754
i1,2023-04-28T17:19:06.000+02:00,-2.682
i1,2023-04-28T17:19:06.000+02:00,-2.312
i1,2023-04-28T17:19:06.000+02:00,-1.887
i1,2023-04-28T17:19:07.000+02:00,-1.291
i1,2023-04-28T17:19:07.000+02:00,-3.4090000000000003
i1,2023-04-28T17:19:07.000+02:00,-1.861
i1,2023-04-28T17:19:08.000+02:00,-2.005
i1,2023-04-28T17:19:08.000+02:00,-2.064
i1,2023-04-28T17:19:08.000+02:00,-2.0300000000000002
i1,2023-04-28T17:19:08.000+02:00,-2.001
i1,2023-04-28T17:19:09.000+02:00,-1.137
i1,2023-04-28T17:19:09.000+02:00,-2.025
i1,2023-04-28T17:19:09.000+02:00,-0.853
i1,2023-04-28T17:19:10.000+02:00,-2.036
i1,2023-04-28T17:19:10.000+02:00,-2.085
i1,2023-04-28T17:19:10.000+02:00,-2.053
i1,2023-04-28T17:19:11.000+02:00,-2.061
i1,2023-04-28T17:19:11.000+02:00,-2.052
i1,2023-04-28T17:19:11.000+02:00,-2.0460000000000003
i1,2023-04-28T17:19:11.000+02:00,-2.055
i1,2023-04-28T17:19:12.000+02:00,-2.05
i1,2023-04-28T17:19:12.000+02:00,-2.044
i1,2023-04-28T17:19:13.000+02:00,-2.0340000000000003
i1,2023-04-28T17:19:13.000+02:00,-2.056
i1,2023-04-28T17:19:14.000+02:00,-1.185
i1,2023-04-28T17:19:14.000+02:00,-1.905
i1,2023-04-28T17:19:14.000+02:00,-1.367
i1,2023-04-28T17:19:14.000+02:00,-2.7800000000000002
i1,2023-04-28T17:19:15.000+02:00,-2.334
i1,2023-04-28T17:19:15.000+02:00,-2.172
i1,2023-04-28T17:19:15.000+02:00,-1.201
i1,2023-04-28T17:19:16.000+02:00,-1.618
i1,2023-04-28T17:19:16.000+02:00,-2.063
i1,2023-04-28T17:19:16.000+02:00,-2.125
i1,2023-04-28T17:19:16.000+02:00,-1.986
i1,2023-04-28T17:19:17.000+02:00,-1.4000000000000001
i1,2023-04-28T17:19:17.000+02:00,-1.951
i1,2023-04-28T17:19:17.000+02:00,-2.013
i1,2023-04-28T17:19:17.000+02:00,-2.021
i1,2023-04-28T17:19:18.000+02:00,-1.552
i1,2023-04-28T17:19:18.000+02:00,-3.013
i1,2023-04-28T17:19:18.000+02:00,-1.568
i1,2023-04-28T17:19:18.000+02:00,-1.07
i1,2023-04-28T17:19:19.000+02:00,-2.013
i1,2023-04-28T17:19:19.000+02:00,-2.025
i1,2023-04-28T17:19:19.000+02:00,-2.039
i1,2023-04-28T17:19:19.000+02:00,-2.024
i1,2023-04-28T17:19:20.000+02:00,-2.033
i1,2023-04-28T17:19:20.000+02:00,-2.039
i1,2023-04-28T17:19:20.000+02:00,-2.029
i1,2023-04-28T17:19:20.000+02:00,-1.62
i1,2023-04-28T17:19:21.000+02:00,-2.044
i1,2023-04-28T17:19:21.000+02:00,-1.37
i1,2023-04-28T17:19:21.000+02:00,-2.011
i1,2023-04-28T17:19:22.000+02:00,-1.954
i1,2023-04-28T17:19:22.000+02:00,-2.1310000000000002
i1,2023-04-28T17:19:22.000+02:00,-1.491
i1,2023-04-28T17:19:22.000+02:00,-1.548
i1,2023-04-28T17:19:23.000+02:00,-1.495
i1,2023-04-28T17:19:23.000+02:00,-1.524
i1,2023-04-28T17:19:23.000+02:00,-1.846
i1,2023-04-28T17:19:23.000+02:00,-2.148
i1,2023-04-28T17:19:24.000+02:00,-1.86
i1,2023-04-28T17:19:24.000+02:00,-2.011
i1,2023-04-28T17:19:24.000+02:00,-1.492
i1,2023-04-28T17:19:24.000+02:00,-1.643
i1,2023-04-28T17:19:25.000+02:00,-1.893
i1,2023-04-28T17:19:25.000+02:00,-2.133
i1,2023-04-28T17:19:25.000+02:00,-2.584
i1,2023-04-28T17:19:25.000+02:00,-2.886
i1,2023-04-28T17:19:26.000+02:00,-2.2520000000000002
i1,2023-04-28T17:19:26.000+02:00,-3.25
i1,2023-04-28T17:19:26.000+02:00,-2.847
i1,2023-04-28T17:19:26.000+02:00,-1.98
i1,2023-04-28T17:19:27.000+02:00,-1.995
i1,2023-04-28T17:19:27.000+02:00,-1.877
i1,2023-04-28T17:19:27.000+02:00,-2.062
i1,2023-04-28T17:19:28.000+02:00,-2.0300000000000002
i1,2023-04-28T17:19:28.000+02:00,-2.033
i1,2023-04-28T17:19:28.000+02:00,-1.2770000000000001
i1,2023-04-28T17:19:28.000+02:00,-2.183
i1,2023-04-28T17:19:29.000+02:00,-2.109
i1,2023-04-28T17:19:29.000+02:00,-1.956
i1,2023-04-28T17:19:29.000+02:00,-1.833
i1,2023-04-28T17:19:29.000+02:00,-2.761
i1,2023-04-28T17:19:30.000+02:00,-1.883
i1,2023-04-28T17:19:30.000+02:00,-1.7690000000000001
i1,2023-04-28T17:19:30.000+02:00,-1.798
i1,2023-04-28T17:19:30.000+02:00,-1.8840000000000001
i1,2023-04-28T17:19:31.000+02:00,-2.116
i1,2023-04-28T17:19:31.000+02:00,-2.231
i1,2023-04-28T17:19:31.000+02:00,-3.2920000000000003
i1,2023-04-28T17:19:31.000+02:00,-3.141
i1,2023-04-28T17:19:32.000+02:00,-2.158
i1,2023-04-28T17:19:32.000+02:00,-1.944
i1,2023-04-28T17:19:32.000+02:00,-1.922
i1,2023-04-28T17:19:32.000+02:00,-2.1550000000000002
i1,2023-04-28T17:19:33.000+02:00,-2.465
i1,2023-04-28T17:19:33.000+02:00,-2.592
i1,2023-04-28T17:19:33.000+02:00,-2.597
i1,2023-04-28T17:19:34.000+02:00,-2.457
i1,2023-04-28T17:19:34.000+02:00,-2.265
i1,2023-04-28T17:19:34.000+02:00,-1.967
