id,timestamp,MaxxTurn45_Axes_Power_Active_C
i1,2023-04-28 17:00:12.772,-2.197401762008667
i1,2023-04-28 17:00:12.874,2.1690149307250977
i1,2023-04-28 17:00:12.977,2.1690149307250977
i1,2023-04-28 17:00:13.081,-0.7334620356559753
i1,2023-04-28 17:00:13.186,-0.7334620356559753
i1,2023-04-28 17:00:13.287,-0.7334620356559753
i1,2023-04-28 17:00:13.386,44.66368865966797
i1,2023-04-28 17:00:13.487,53.701904296875
i1,2023-04-28 17:00:13.592,53.701904296875
i1,2023-04-28 17:00:13.693,37.081050872802734
i1,2023-04-28 17:00:13.794,37.081050872802734
i1,2023-04-28 17:00:13.894,35.31039047241211
i1,2023-04-28 17:00:14.004,35.31039047241211
i1,2023-04-28 17:00:14.103,44.35218048095703
i1,2023-04-28 17:00:14.203,44.35218048095703
i1,2023-04-28 17:00:14.304,158.1659698486328
i1,2023-04-28 17:00:14.409,158.1659698486328
i1,2023-04-28 17:00:14.507,413.7229919433594
i1,2023-04-28 17:00:14.608,413.7229919433594
i1,2023-04-28 17:00:14.712,1101.284423828125
i1,2023-04-28 17:00:14.817,1101.284423828125
i1,2023-04-28 17:00:14.914,2011.906982421875
i1,2023-04-28 17:00:15.016,2011.906982421875
i1,2023-04-28 17:00:15.121,2997.59326171875
i1,2023-04-28 17:00:15.224,2997.59326171875
i1,2023-04-28 17:00:15.325,3543.923828125
i1,2023-04-28 17:00:15.426,3543.923828125
i1,2023-04-28 17:00:15.529,4242.5087890625
i1,2023-04-28 17:00:15.629,4242.5087890625
i1,2023-04-28 17:00:15.729,4864.8310546875
i1,2023-04-28 17:00:15.825,4864.8310546875
i1,2023-04-28 17:00:15.929,5522.72802734375
i1,2023-04-28 17:00:16.028,5522.72802734375
i1,2023-04-28 17:00:16.137,5717.841796875
i1,2023-04-28 17:00:16.245,5638.36865234375
i1,2023-04-28 17:00:16.372,5638.36865234375
i1,2023-04-28 17:00:16.455,5024.65673828125
i1,2023-04-28 17:00:16.544,5024.65673828125
i1,2023-04-28 17:00:16.658,4223.50927734375
i1,2023-04-28 17:00:16.761,4223.50927734375
i1,2023-04-28 17:00:16.855,3483.538818359375
i1,2023-04-28 17:00:16.953,3483.538818359375
i1,2023-04-28 17:00:17.061,2840.435791015625
i1,2023-04-28 17:00:17.160,2840.435791015625
i1,2023-04-28 17:00:17.260,2282.28515625
i1,2023-04-28 17:00:17.386,2282.28515625
i1,2023-04-28 17:00:17.465,1728.7684326171875
i1,2023-04-28 17:00:17.567,1728.7684326171875
i1,2023-04-28 17:00:17.670,850.6743774414062
i1,2023-04-28 17:00:17.776,850.6743774414062
i1,2023-04-28 17:00:17.876,163.1418914794922
i1,2023-04-28 17:00:17.978,163.1418914794922
i1,2023-04-28 17:00:18.077,-276.0342712402344
i1,2023-04-28 17:00:18.180,-276.0342712402344
i1,2023-04-28 17:00:18.279,-276.0342712402344
i1,2023-04-28 17:00:18.388,-982.8178100585938
i1,2023-04-28 17:00:18.483,-1369.5216064453125
i1,2023-04-28 17:00:18.588,-1369.5216064453125
i1,2023-04-28 17:00:18.690,-1972.9951171875
i1,2023-04-28 17:00:18.788,-1972.9951171875
i1,2023-04-28 17:00:18.896,-2747.09423828125
i1,2023-04-28 17:00:18.994,-2747.09423828125
i1,2023-04-28 17:00:19.104,-3265.896484375
i1,2023-04-28 17:00:19.198,-3265.896484375
i1,2023-04-28 17:00:19.300,-3415.95947265625
i1,2023-04-28 17:00:19.404,-3415.95947265625
i1,2023-04-28 17:00:19.505,-3074.218994140625
i1,2023-04-28 17:00:19.609,-3074.218994140625
i1,2023-04-28 17:00:19.712,-2300.42333984375
i1,2023-04-28 17:00:19.809,-2300.42333984375
i1,2023-04-28 17:00:19.915,-1056.4925537109375
i1,2023-04-28 17:00:20.016,-1056.4925537109375
i1,2023-04-28 17:00:20.115,479.92755126953125
i1,2023-04-28 17:00:20.232,479.92755126953125
i1,2023-04-28 17:00:20.314,479.92755126953125
i1,2023-04-28 17:00:20.417,1872.5042724609375
i1,2023-04-28 17:00:20.525,2835.982177734375
i1,2023-04-28 17:00:20.629,2835.982177734375
i1,2023-04-28 17:00:20.731,4018.73095703125
i1,2023-04-28 17:00:20.829,4018.73095703125
i1,2023-04-28 17:00:20.935,4648.65576171875
i1,2023-04-28 17:00:21.033,4648.65576171875
i1,2023-04-28 17:00:21.135,4747.29638671875
i1,2023-04-28 17:00:21.237,4747.29638671875
i1,2023-04-28 17:00:21.342,4829.62890625
i1,2023-04-28 17:00:21.445,4829.62890625
i1,2023-04-28 17:00:21.547,4418.64599609375
i1,2023-04-28 17:00:21.655,3667.281982421875
i1,2023-04-28 17:00:21.752,3667.281982421875
i1,2023-04-28 17:00:21.850,3667.281982421875
i1,2023-04-28 17:00:21.956,2916.434326171875
i1,2023-04-28 17:00:22.056,2916.434326171875
i1,2023-04-28 17:00:22.156,1878.2578125
i1,2023-04-28 17:00:22.265,1586.552734375
i1,2023-04-28 17:00:22.360,1586.552734375
i1,2023-04-28 17:00:22.468,1091.37109375
i1,2023-04-28 17:00:22.564,1091.37109375
i1,2023-04-28 17:00:22.675,1062.825927734375
i1,2023-04-28 17:00:22.776,1062.825927734375
i1,2023-04-28 17:00:22.876,1049.6473388671875
i1,2023-04-28 17:00:22.978,1049.6473388671875
i1,2023-04-28 17:00:23.087,1017.9679565429688
i1,2023-04-28 17:00:23.184,1017.9679565429688
i1,2023-04-28 17:00:23.283,918.625
i1,2023-04-28 17:00:23.408,918.625
i1,2023-04-28 17:00:23.490,419.5107116699219
i1,2023-04-28 17:00:23.603,419.5107116699219
i1,2023-04-28 17:00:23.688,-127.45746612548828
i1,2023-04-28 17:00:23.795,-127.45746612548828
i1,2023-04-28 17:00:23.892,-792.17138671875
i1,2023-04-28 17:00:24.001,-792.17138671875
i1,2023-04-28 17:00:24.098,-187.1795654296875
i1,2023-04-28 17:00:24.199,-187.1795654296875
i1,2023-04-28 17:00:24.296,366.7169494628906
i1,2023-04-28 17:00:24.396,366.7169494628906
i1,2023-04-28 17:00:24.500,955.955810546875
i1,2023-04-28 17:00:24.604,955.955810546875
i1,2023-04-28 17:00:24.707,1449.3074951171875
i1,2023-04-28 17:00:24.807,1449.3074951171875
i1,2023-04-28 17:00:24.913,2014.3902587890625
i1,2023-04-28 17:00:25.011,2014.3902587890625
i1,2023-04-28 17:00:25.125,2289.164794921875
i1,2023-04-28 17:00:25.214,2289.164794921875
i1,2023-04-28 17:00:25.317,2805.18310546875
i1,2023-04-28 17:00:25.420,2805.18310546875
i1,2023-04-28 17:00:25.519,3326.52099609375
i1,2023-04-28 17:00:25.622,3326.52099609375
