id,timestamp,MaxxTurn45_Axes_Power_Active_A
i1,2023-04-28T15:00:12.764955,447.68402099609375
i1,2023-04-28T15:00:12.867146,452.6109313964844
i1,2023-04-28T15:00:12.969557,452.6109313964844
i1,2023-04-28T15:00:13.073915,452.06622314453125
i1,2023-04-28T15:00:13.178470,452.06622314453125
i1,2023-04-28T15:00:13.280069,452.06622314453125
i1,2023-04-28T15:00:13.377201,499.11993408203125
i1,2023-04-28T15:00:13.479349,508.6627197265625
i1,2023-04-28T15:00:13.584456,508.6627197265625
i1,2023-04-28T15:00:13.684741,489.6896057128906
i1,2023-04-28T15:00:13.786174,489.6896057128906
i1,2023-04-28T15:00:13.886421,488.8455505371094
i1,2023-04-28T15:00:13.994608,488.8455505371094
i1,2023-04-28T15:00:14.095984,502.0229797363281
i1,2023-04-28T15:00:14.195355,502.0229797363281
i1,2023-04-28T15:00:14.296084,620.9647827148438
i1,2023-04-28T15:00:14.401237,620.9647827148438
i1,2023-04-28T15:00:14.499513,884.3429565429688
i1,2023-04-28T15:00:14.600397,884.3429565429688
i1,2023-04-28T15:00:14.703685,1580.3035888671875
i1,2023-04-28T15:00:14.806003,1580.3035888671875
i1,2023-04-28T15:00:14.906598,2501.408447265625
i1,2023-04-28T15:00:15.008637,2501.408447265625
i1,2023-04-28T15:00:15.109906,3496.96630859375
i1,2023-04-28T15:00:15.216148,3496.96630859375
i1,2023-04-28T15:00:15.317904,4036.495849609375
i1,2023-04-28T15:00:15.417217,4036.495849609375
i1,2023-04-28T15:00:15.518283,4736.8525390625
i1,2023-04-28T15:00:15.619315,4736.8525390625
i1,2023-04-28T15:00:15.721611,5362.044921875
i1,2023-04-28T15:00:15.819786,5362.044921875
i1,2023-04-28T15:00:15.922033,6010.52978515625
i1,2023-04-28T15:00:16.022027,6010.52978515625
i1,2023-04-28T15:00:16.129192,6211.6865234375
i1,2023-04-28T15:00:16.231642,6211.6865234375
i1,2023-04-28T15:00:16.333108,6103.99853515625
i1,2023-04-28T15:00:16.447519,5500.9111328125
i1,2023-04-28T15:00:16.536329,5500.9111328125
i1,2023-04-28T15:00:16.643506,5500.9111328125
i1,2023-04-28T15:00:16.749784,4668.8720703125
i1,2023-04-28T15:00:16.847356,3941.472412109375
i1,2023-04-28T15:00:16.945538,3941.472412109375
i1,2023-04-28T15:00:17.053855,3283.107666015625
i1,2023-04-28T15:00:17.149259,3283.107666015625
i1,2023-04-28T15:00:17.251957,2743.80712890625
i1,2023-04-28T15:00:17.378740,2743.80712890625
i1,2023-04-28T15:00:17.455073,2171.890625
i1,2023-04-28T15:00:17.557238,2171.890625
i1,2023-04-28T15:00:17.662405,1301.47265625
i1,2023-04-28T15:00:17.764877,1301.47265625
i1,2023-04-28T15:00:17.868033,604.5924072265625
i1,2023-04-28T15:00:17.970309,604.5924072265625
i1,2023-04-28T15:00:18.069887,187.4812774658203
i1,2023-04-28T15:00:18.170114,187.4812774658203
i1,2023-04-28T15:00:18.271399,187.4812774658203
i1,2023-04-28T15:00:18.376928,-529.5369873046875
i1,2023-04-28T15:00:18.475082,-896.1030883789062
i1,2023-04-28T15:00:18.580445,-896.1030883789062
i1,2023-04-28T15:00:18.682468,-1519.537109375
i1,2023-04-28T15:00:18.780697,-1519.537109375
i1,2023-04-28T15:00:18.885157,-2274.217041015625
