id,timestamp,Spindle_actSpeed
i1,2023-04-28 17:18:25.000,491.2516276041667
i1,2023-04-28 17:18:25.000,957.4788411458334
i1,2023-04-28 17:18:26.000,1770.0602213541667
i1,2023-04-28 17:18:26.000,2640.4622395833335
i1,2023-04-28 17:18:26.000,3189.94140625
i1,2023-04-28 17:18:26.000,3578.4098307291665
i1,2023-04-28 17:18:27.000,3805.0130208333335
i1,2023-04-28 17:18:27.000,4003.3772786458335
i1,2023-04-28 17:18:27.000,4003.662109375
i1,2023-04-28 17:18:27.000,4003.2958984375
i1,2023-04-28 17:18:28.000,4002.5634765625
i1,2023-04-28 17:18:28.000,4001.953125
i1,2023-04-28 17:18:28.000,4002.3600260416665
i1,2023-04-28 17:18:29.000,3833.0891927083335
i1,2023-04-28 17:18:29.000,3609.2936197916665
i1,2023-04-28 17:18:29.000,3224.3245442708335
i1,2023-04-28 17:18:29.000,2917.8873697916665
i1,2023-04-28 17:18:30.000,2303.1412760416665
i1,2023-04-28 17:18:30.000,1044.6370442708333
i1,2023-04-28 17:18:30.000,566.1214192708334
i1,2023-04-28 17:18:30.000,-278.4016927083333
i1,2023-04-28 17:18:31.000,-1144.0022786458333
i1,2023-04-28 17:18:31.000,-2241.0481770833335
i1,2023-04-28 17:18:31.000,-2968.8313802083335
i1,2023-04-28 17:18:31.000,-3283.3658854166665
i1,2023-04-28 17:18:32.000,-3504.7607421875
i1,2023-04-28 17:18:32.000,-3502.0345052083335
i1,2023-04-28 17:18:32.000,-3502.2379557291665
i1,2023-04-28 17:18:32.000,-3502.1565755208335
i1,2023-04-28 17:18:33.000,-3503.1331380208335
i1,2023-04-28 17:18:33.000,-3504.2724609375
i1,2023-04-28 17:18:33.000,-3501.9938151041665
i1,2023-04-28 17:18:33.000,-3503.8655598958335
i1,2023-04-28 17:18:34.000,-3502.6448567708335
i1,2023-04-28 17:18:34.000,-3503.1331380208335
i1,2023-04-28 17:18:34.000,-3345.2555338541665
i1,2023-04-28 17:18:35.000,-2899.4954427083335
i1,2023-04-28 17:18:35.000,-2694.4986979166665
i1,2023-04-28 17:18:35.000,-3035.0341796875
i1,2023-04-28 17:18:35.000,-3451.4973958333335
i1,2023-04-28 17:18:36.000,-3803.3447265625
i1,2023-04-28 17:18:36.000,-4006.0221354166665
i1,2023-04-28 17:18:36.000,-4003.7434895833335
i1,2023-04-28 17:18:36.000,-4003.3772786458335
i1,2023-04-28 17:18:37.000,-4003.8248697916665
i1,2023-04-28 17:18:37.000,-3957.03125
i1,2023-04-28 17:18:37.000,-3897.2574869791665
i1,2023-04-28 17:18:37.000,-4004.2317708333335
i1,2023-04-28 17:18:38.000,-3842.4479166666665
i1,2023-04-28 17:18:38.000,-3736.5315755208335
i1,2023-04-28 17:18:38.000,-3959.3505859375
i1,2023-04-28 17:18:38.000,-3876.5462239583335
i1,2023-04-28 17:18:39.000,-3538.0045572916665
i1,2023-04-28 17:18:39.000,-3279.9886067708335
i1,2023-04-28 17:18:39.000,-3589.4775390625
i1,2023-04-28 17:18:40.000,-3747.2737630208335
i1,2023-04-28 17:18:40.000,-3804.6875
i1,2023-04-28 17:18:40.000,-4005.5338541666665
i1,2023-04-28 17:18:40.000,-4004.4759114583335
i1,2023-04-28 17:18:41.000,-4004.1910807291665
i1,2023-04-28 17:18:41.000,-4002.8889973958335
i1,2023-04-28 17:18:41.000,-3794.5963541666665
i1,2023-04-28 17:18:41.000,-3442.7083333333335
i1,2023-04-28 17:18:42.000,-3172.6481119791665
i1,2023-04-28 17:18:42.000,-2672.36328125
i1,2023-04-28 17:18:42.000,-1842.8955078125
i1,2023-04-28 17:18:42.000,-400.6754557291667
i1,2023-04-28 17:18:43.000,506.7138671875
i1,2023-04-28 17:18:43.000,1166.015625
i1,2023-04-28 17:18:43.000,2262.2884114583335
i1,2023-04-28 17:18:43.000,2771.0367838541665
i1,2023-04-28 17:18:44.000,3260.009765625
i1,2023-04-28 17:18:44.000,3519.2464192708335
i1,2023-04-28 17:18:44.000,3433.0647786458335
i1,2023-04-28 17:18:45.000,3432.9020182291665
i1,2023-04-28 17:18:45.000,3433.0240885416665
i1,2023-04-28 17:18:45.000,3432.9020182291665
i1,2023-04-28 17:18:45.000,3433.59375
i1,2023-04-28 17:18:46.000,3434.0413411458335
i1,2023-04-28 17:18:46.000,3434.326171875
