id,timestamp,MaxxTurn45_Power_Active_A
i1,2023-04-28 17:00:12.769,1129.3519287109375
i1,2023-04-28 17:00:12.867,1129.3519287109375
i1,2023-04-28 17:00:12.972,1155.333740234375
i1,2023-04-28 17:00:13.073,1155.333740234375
i1,2023-04-28 17:00:13.188,1155.333740234375
i1,2023-04-28 17:00:13.286,1156.47119140625
i1,2023-04-28 17:00:13.380,1156.47119140625
i1,2023-04-28 17:00:13.482,1156.47119140625
i1,2023-04-28 17:00:13.584,1147.06982421875
i1,2023-04-28 17:00:13.689,1093.7908935546875
i1,2023-04-28 17:00:13.788,1093.7908935546875
i1,2023-04-28 17:00:13.896,1010.514404296875
i1,2023-04-28 17:00:13.997,1010.514404296875
i1,2023-04-28 17:00:14.096,1006.931884765625
i1,2023-04-28 17:00:14.194,1006.931884765625
i1,2023-04-28 17:00:14.300,1036.4822998046875
i1,2023-04-28 17:00:14.402,1036.4822998046875
i1,2023-04-28 17:00:14.499,1282.4202880859375
i1,2023-04-28 17:00:14.605,1282.4202880859375
i1,2023-04-28 17:00:14.704,1903.7227783203125
i1,2023-04-28 17:00:14.804,1903.7227783203125
i1,2023-04-28 17:00:14.907,2633.213623046875
i1,2023-04-28 17:00:15.010,2633.213623046875
i1,2023-04-28 17:00:15.114,2633.213623046875
i1,2023-04-28 17:00:15.217,3317.323974609375
i1,2023-04-28 17:00:15.319,3708.967041015625
i1,2023-04-28 17:00:15.417,3708.967041015625
i1,2023-04-28 17:00:15.524,4184.92919921875
i1,2023-04-28 17:00:15.625,4184.92919921875
i1,2023-04-28 17:00:15.727,4700.5478515625
i1,2023-04-28 17:00:15.822,4700.5478515625
i1,2023-04-28 17:00:15.927,5081.40869140625
i1,2023-04-28 17:00:16.025,5081.40869140625
i1,2023-04-28 17:00:16.135,5186.421875
i1,2023-04-28 17:00:16.236,5186.421875
i1,2023-04-28 17:00:16.337,4986.52685546875
i1,2023-04-28 17:00:16.437,4986.52685546875
i1,2023-04-28 17:00:16.537,4465.8544921875
i1,2023-04-28 17:00:16.640,4465.8544921875
i1,2023-04-28 17:00:16.742,3920.515869140625
i1,2023-04-28 17:00:16.847,3920.515869140625
i1,2023-04-28 17:00:16.950,3204.200927734375
i1,2023-04-28 17:00:17.053,3204.200927734375
i1,2023-04-28 17:00:17.150,2932.831298828125
i1,2023-04-28 17:00:17.256,2932.831298828125
i1,2023-04-28 17:00:17.356,2556.27685546875
i1,2023-04-28 17:00:17.458,2556.27685546875
i1,2023-04-28 17:00:17.557,2116.32763671875
i1,2023-04-28 17:00:17.659,2116.32763671875
i1,2023-04-28 17:00:17.761,1447.66015625
i1,2023-04-28 17:00:17.863,1447.66015625
i1,2023-04-28 17:00:17.965,999.6386108398438
i1,2023-04-28 17:00:18.079,999.6386108398438
i1,2023-04-28 17:00:18.170,657.14892578125
i1,2023-04-28 17:00:18.271,657.14892578125
i1,2023-04-28 17:00:18.376,220.8526153564453
i1,2023-04-28 17:00:18.475,220.8526153564453
i1,2023-04-28 17:00:18.580,-172.62551879882812
i1,2023-04-28 17:00:18.684,-172.62551879882812
i1,2023-04-28 17:00:18.787,-683.2905883789062
i1,2023-04-28 17:00:18.893,-1238.126708984375
i1,2023-04-28 17:00:18.992,-1238.126708984375
i1,2023-04-28 17:00:19.093,-1238.126708984375
i1,2023-04-28 17:00:19.194,-1588.079833984375
i1,2023-04-28 17:00:19.303,-1588.079833984375
i1,2023-04-28 17:00:19.400,-1642.254150390625
i1,2023-04-28 17:00:19.507,-1267.51025390625
i1,2023-04-28 17:00:19.606,-1267.51025390625
i1,2023-04-28 17:00:19.709,-554.731201171875
i1,2023-04-28 17:00:19.808,-554.731201171875
i1,2023-04-28 17:00:19.910,321.9144592285156
i1,2023-04-28 17:00:20.012,321.9144592285156
i1,2023-04-28 17:00:20.114,321.9144592285156
i1,2023-04-28 17:00:20.221,1662.8792724609375
i1,2023-04-28 17:00:20.310,2295.931396484375
i1,2023-04-28 17:00:20.417,2295.931396484375
i1,2023-04-28 17:00:20.521,3232.5732421875
i1,2023-04-28 17:00:20.621,3232.5732421875
i1,2023-04-28 17:00:20.722,4018.32666015625
i1,2023-04-28 17:00:20.829,4018.32666015625
i1,2023-04-28 17:00:20.928,4386.80615234375
i1,2023-04-28 17:00:21.030,4386.80615234375
i1,2023-04-28 17:00:21.132,4514.52099609375
i1,2023-04-28 17:00:21.240,4514.52099609375
i1,2023-04-28 17:00:21.334,4442.2939453125
i1,2023-04-28 17:00:21.437,4442.2939453125
i1,2023-04-28 17:00:21.538,4059.63623046875
i1,2023-04-28 17:00:21.640,4059.63623046875
i1,2023-04-28 17:00:21.744,3519.67138671875
i1,2023-04-28 17:00:21.846,3519.67138671875
i1,2023-04-28 17:00:21.953,2673.28271484375
i1,2023-04-28 17:00:22.048,2673.28271484375
i1,2023-04-28 17:00:22.150,2405.042236328125
i1,2023-04-28 17:00:22.258,2405.042236328125
