id,timestamp,Program_msg
i1,2023-04-28T17:18:25.000+02:00,Type: order1: wr04; Schnitttiefe: 0.6; Vorschub: 0.03
i1,2023-04-28T17:20:33.000+02:00,G0 D0 G53 X431.4;X431.4
i1,2023-04-28T17:20:34.000+02:00,G53 D0 Z601.5 C2=0;Z601.5
