id,timestamp,MaxxTurn45_Coolant_Power_Active_C
i1,2023-04-28T15:00:12.775384,287.7684020996094
i1,2023-04-28T15:00:12.874884,285.5717468261719
i1,2023-04-28T15:00:12.976935,285.5717468261719
i1,2023-04-28T15:00:13.080294,283.7412414550781
i1,2023-04-28T15:00:13.181625,283.7412414550781
i1,2023-04-28T15:00:13.282421,283.7412414550781
i1,2023-04-28T15:00:13.385583,269.3138122558594
i1,2023-04-28T15:00:13.489844,277.5170593261719
i1,2023-04-28T15:00:13.590811,277.5170593261719
i1,2023-04-28T15:00:13.691562,259.30242919921875
i1,2023-04-28T15:00:13.794374,259.30242919921875
i1,2023-04-28T15:00:13.893786,217.4739532470703
i1,2023-04-28T15:00:13.996207,217.4739532470703
i1,2023-04-28T15:00:14.098252,148.8018798828125
i1,2023-04-28T15:00:14.202655,148.8018798828125
i1,2023-04-28T15:00:14.303534,125.10450744628906
i1,2023-04-28T15:00:14.407926,125.10450744628906
i1,2023-04-28T15:00:14.509877,99.34767150878906
i1,2023-04-28T15:00:14.611038,99.34767150878906
i1,2023-04-28T15:00:14.710996,99.34757995605469
i1,2023-04-28T15:00:14.822514,99.34757995605469
i1,2023-04-28T15:00:14.916752,98.92559051513672
i1,2023-04-28T15:00:15.015414,98.92559051513672
i1,2023-04-28T15:00:15.121108,99.01649475097656
i1,2023-04-28T15:00:15.219498,99.01649475097656
i1,2023-04-28T15:00:15.321520,99.01649475097656
i1,2023-04-28T15:00:15.426637,99.13743591308594
i1,2023-04-28T15:00:15.532820,99.05305480957031
i1,2023-04-28T15:00:15.634028,99.05305480957031
i1,2023-04-28T15:00:15.734588,99.05301666259766
i1,2023-04-28T15:00:15.826109,99.05301666259766
i1,2023-04-28T15:00:15.929424,98.68757629394531
i1,2023-04-28T15:00:16.028589,98.68757629394531
i1,2023-04-28T15:00:16.139460,99.0531234741211
i1,2023-04-28T15:00:16.248750,99.05316925048828
i1,2023-04-28T15:00:16.352938,99.05316925048828
i1,2023-04-28T15:00:16.454672,99.41876983642578
i1,2023-04-28T15:00:16.543897,99.41876983642578
i1,2023-04-28T15:00:16.651955,99.47886657714844
i1,2023-04-28T15:00:16.749227,99.47886657714844
i1,2023-04-28T15:00:16.861868,99.41874694824219
i1,2023-04-28T15:00:16.961864,99.41874694824219
i1,2023-04-28T15:00:17.060118,99.40945434570312
i1,2023-04-28T15:00:17.157284,99.40945434570312
i1,2023-04-28T15:00:17.265056,99.40945434570312
i1,2023-04-28T15:00:17.375470,99.36038208007812
i1,2023-04-28T15:00:17.472844,99.71575927734375
