id,timestamp,i1_light_barrier_interrupted,i2_color_sensor_red_light_reflection,i3_light_barrier_interrupted,i6_light_barrier_interrupted,i7_light_barrier_interrupted,i8_light_barrier_interrupted,m1_speed,o5_valve_open,o6_valve_open,o7_valve_open,o8_compressor_power_level,current_state,current_task,current_task_elapsed_seconds_since_start,current_sub_task,failure_label
SM_1,2022-07-19 10:01:44.17,False,0,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.28,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.38,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.49,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.59,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.69,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.80,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:44.90,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.01,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.11,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.22,False,1768,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.32,False,1761,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.42,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.53,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.63,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.74,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.84,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:45.94,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.05,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.15,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.25,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.36,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.46,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.57,False,1768,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.67,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.78,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.88,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:46.98,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.09,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.19,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.29,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.40,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.50,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.60,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.71,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.81,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:47.92,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.02,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.13,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.23,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.34,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.44,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.55,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.65,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.75,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.86,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:48.96,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.07,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.17,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.27,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.37,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.48,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.58,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.69,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.79,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:49.89,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.00,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.10,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.21,False,1768,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.31,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.42,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.52,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.62,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.72,False,1819,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.83,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:50.93,False,1768,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.03,False,1759,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.14,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.24,False,1761,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.34,False,1763,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.45,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.56,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
SM_1,2022-07-19 10:01:51.66,False,1766,False,False,False,False,0,False,False,False,0,ready,,0.0,,
