id,timestamp,i1_position_switch_pressed,i2_position_switch_pressed,i5_light_barrier_interrupted,m1_speed,o7_valve_open,o8_compressor_power_level,current_state,current_task,current_task_elapsed_seconds_since_start,current_sub_task,failure_label
Oven,2022-07-19 10:03:02.15,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.211426,opening the oven door,
Oven,2022-07-19 10:03:02.25,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.315996,opening the oven door,
Oven,2022-07-19 10:03:02.36,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.421142,opening the oven door,
Oven,2022-07-19 10:03:02.46,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.523579,opening the oven door,
Oven,2022-07-19 10:03:02.56,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.627222,opening the oven door,
Oven,2022-07-19 10:03:02.67,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.732375,opening the oven door,
Oven,2022-07-19 10:03:02.77,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.836674,opening the oven door,
Oven,2022-07-19 10:03:02.88,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,8.941119,opening the oven door,
Oven,2022-07-19 10:03:02.98,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.04202,opening the oven door,
Oven,2022-07-19 10:03:03.08,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.145166,opening the oven door,
Oven,2022-07-19 10:03:03.18,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.245958,opening the oven door,
Oven,2022-07-19 10:03:03.29,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.350086,opening the oven door,
Oven,2022-07-19 10:03:03.39,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.455017,opening the oven door,
Oven,2022-07-19 10:03:03.49,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.557686,opening the oven door,
Oven,2022-07-19 10:03:03.60,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.662774,opening the oven door,
Oven,2022-07-19 10:03:03.70,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.767868,opening the oven door,
Oven,2022-07-19 10:03:03.81,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.872985,opening the oven door,
Oven,2022-07-19 10:03:03.91,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,9.97731,opening the oven door,
Oven,2022-07-19 10:03:04.02,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,10.082405,opening the oven door,
Oven,2022-07-19 10:03:04.12,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,10.187084,opening the oven door,
Oven,2022-07-19 10:03:04.23,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,10.292167,opening the oven door,
Oven,2022-07-19 10:03:04.33,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,10.397311,opening the oven door,
Oven,2022-07-19 10:03:04.44,True,False,False,0,False,512,not ready,burning the workpiece for 2 seconds,10.502408,opening the oven door,
Oven,2022-07-19 10:03:04.55,True,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,10.61358,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:04.68,True,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,10.745163,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:04.79,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,10.857708,transporting the workpiece to the outside of the oven,
Oven,2022-07-19 10:03:04.92,False,False,False,512,True,512,not ready,burning the workpiece for 2 seconds,10.983542,transporting the workpiece to the outside of the oven,
