id,timestamp,i1_light_barrier_interrupted,i2_light_barrier_interrupted,i3_light_barrier_interrupted,i4_light_barrier_interrupted,i5_position_switch_pressed,i6_position_switch_pressed,i7_position_switch_pressed,i8_position_switch_pressed,m1_speed,m2_speed,m3_speed,m4_speed,current_state,current_task,current_task_elapsed_seconds_since_start,current_sub_task,failure_label,current_pos_x,current_pos_y,target_pos_x,target_pos_y,amount_of_stored_workpieces
HBW,2022-07-19 10:01:48.51,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:48.62,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:48.72,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:48.83,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:48.93,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.03,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.14,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.24,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.34,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.44,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.54,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.65,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.75,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.86,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:49.96,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.07,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.17,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.27,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.37,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.48,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.58,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.69,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.79,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:50.90,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:51.00,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:51.10,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
HBW,2022-07-19 10:01:51.21,False,True,False,False,False,False,True,False,0,0,0,0,ready,,0.0,,,0,0,0,0,0
